Employee ID,DOB,Emp Age,Surname,Name,Gender,Marital Status,Branch,Hire Date,Leave Date,Leave Reason,Status,Department,Employee Satisfaction,Annual Salary ($),Bonus ($),Total Compensation,Job Title,Job Description,Manager (Y/N),Performance
10005,28/10/1953,69,Jackson,Noelia,F,Single,Buenos Aires,2014-01-25 00:00:00,,Not provided,Active,Production,3,43241,4757,47998,Production Technician I,Technician,No,Fully Meets
10007,28/04/1953,69,Carey,Rodrigo,M,Single,Lima,2014-02-04 00:00:00,,Not provided,Active,Production,3,51009,7141,58150,Production Technician I,Technician,No,Fully Meets
10009,06/02/1968,55,Chan,Lucas,M,Single,Buenos Aires,2014-02-09 00:00:00,,Not provided,Active,Production,4,42034,6305,48339,Production Technician I,Technician,No,Fully Meets
10015,10/11/1983,39,Ferreira,Daiana,F,Single,Lima,2014-05-02 00:00:00,,Not provided,Active,Production,4,44391,2663,47054,Production Technician I,Technician,No,Fully Meets
10040,01/05/1961,61,Bernstein,Ruben,M,Single,Lima,2014-10-07 00:00:00,,Not provided,Active,Production,3,43361,8239,51600,Production Technician I,Technician,No,Fully Meets
10055,30/12/1989,33,Rossetti,Diego,M,Single,Montevideo,2014-12-21 00:00:00,,Not provided,Active,Production,5,54811,7125,61936,Production Technician I,Technician,No,Fully Meets
10079,08/01/1975,48,Cockel,Juan,M,Single,Buenos Aires,2015-06-07 00:00:00,,Not provided,Active,Production,5,57098,7994,65092,Production Technician I,Technician,No,Fully Meets
10106,20/05/1972,50,Sutwell,Sonia,F,Single,Buenos Aires,2015-12-11 00:00:00,,Not provided,Active,Production,5,47065,4236,51301,Production Technician I,Technician,No,Fully Meets
10109,22/10/1975,47,Von Massenbach,Walter,M,Single,Montevideo,2016-01-31 00:00:00,,Not provided,Active,Production,3,47044,5175,52219,Production Technician I,Technician,No,Fully Meets
10111,03/07/1969,53,Beatrice,María,F,Single,Montevideo,2016-02-28 00:00:00,,Not provided,Active,Production,5,53903,5929,59832,Production Technician I,Technician,No,Fully Meets
10118,09/01/1987,36,Perry,Cristina,F,Single,Montevideo,2016-03-29 00:00:00,,Not provided,Active,Production,4,47337,8994,56331,Production Technician I,Technician,No,Fully Meets
10119,10/04/1954,68,Garcia,Emmanuel,M,Single,Lima,2016-04-02 00:00:00,,Not provided,Active,Production,3,48505,4851,53356,Production Technician I,Technician,No,Fully Meets
10136,19/09/1968,54,Mahoney,Victor,M,Single,Lima,2016-08-04 00:00:00,,Not provided,Active,Production,4,49953,9991,59944,Production Technician I,Technician,No,Fully Meets
10143,21/02/1972,51,Gold,Juan,M,Single,Buenos Aires,2016-10-11 00:00:00,,Not provided,Active,Production,5,56777,6813,63590,Production Technician I,Technician,No,Fully Meets
10144,17/01/1975,48,Dickinson,Leandro,M,Single,Buenos Aires,2016-10-23 00:00:00,,Not provided,Active,Production,4,56173,10673,66846,Production Technician I,Technician,No,Fully Meets
10149,19/07/1986,36,Chace,Rita,F,Single,Lima,2016-11-24 00:00:00,,Not provided,Active,Production,4,54177,9210,63387,Production Technician I,Technician,No,Fully Meets
10152,24/11/1990,32,Williams,Justo,M,Single,Lima,2016-12-15 00:00:00,,Not provided,Active,Production,4,54075,10815,64890,Production Technician I,Technician,No,Fully Meets
10153,01/10/1960,62,Crimmings,Lautaro,M,Single,Montevideo,2016-12-16 00:00:00,,Not provided,Active,Production,5,53193,4255,57448,Production Technician I,Technician,No,Fully Meets
10155,05/04/1991,31,Garneau,Ezequiel,M,Single,Lima,2016-12-30 00:00:00,,Not provided,Active,Production,4,55083,9364,64447,Production Technician I,Technician,No,Fully Meets
10163,10/08/1962,60,Nguyen,Roberto,M,Single,Montevideo,2017-02-25 00:00:00,,Not provided,Active,Production,5,45282,6792,52074,Production Technician I,Technician,No,Fully Meets
10167,27/03/1976,46,Pitt,Alejandro,M,Single,Buenos Aires,2017-03-13 00:00:00,,Not provided,Active,Production,3,50204,8535,58739,Production Technician I,Technician,No,Fully Meets
10173,20/03/1981,41,Barone,Julieta,F,Single,Montevideo,2017-04-13 00:00:00,,Not provided,Active,Production,4,42634,3837,46471,Production Technician I,Technician,No,Fully Meets
10174,18/03/1959,63,Chang,Emanuel,M,Single,Buenos Aires,2017-04-13 00:00:00,,Not provided,Active,Production,5,45949,5514,51463,Production Technician I,Technician,No,Fully Meets
10005,28/10/1953,69,Jackson,Noelia,F,Single,Buenos Aires,2014-01-25 00:00:00,,Not provided,Active,Production,3,47565,4757,52322,Production Technician I,Technician,No,Fully Meets
10007,28/04/1953,69,Carey,Rodrigo,M,Single,Lima,2014-02-04 00:00:00,,Not provided,Active,Production,3,56110,7141,63251,Production Technician I,Technician,No,Fully Meets
10009,06/02/1968,55,Chan,Lucas,M,Single,Buenos Aires,2014-02-09 00:00:00,,Not provided,Active,Production,4,46237,6305,52542,Production Technician I,Technician,No,Fully Meets
10015,10/11/1983,39,Ferreira,Daiana,F,Single,Lima,2014-05-02 00:00:00,,Not provided,Active,Production,4,48830,2663,51493,Production Technician I,Technician,No,Fully Meets
10040,01/05/1961,61,Bernstein,Ruben,M,Single,Lima,2014-10-07 00:00:00,,Not provided,Active,Production,3,47697,8239,55936,Production Technician I,Technician,No,Fully Meets
10055,30/12/1989,33,Rossetti,Diego,M,Single,Montevideo,2014-12-21 00:00:00,,Not provided,Active,Production,5,60292,7125,67417,Production Technician I,Technician,No,Fully Meets
10079,08/01/1975,48,Cockel,Juan,M,Single,Buenos Aires,2015-06-07 00:00:00,,Not provided,Active,Production,5,62808,7994,70802,Production Technician I,Technician,No,Fully Meets
10106,20/05/1972,50,Sutwell,Sonia,F,Single,Buenos Aires,2015-12-11 00:00:00,,Not provided,Active,Production,5,51772,4236,56008,Production Technician I,Technician,No,Fully Meets
10109,22/10/1975,47,Von Massenbach,Walter,M,Single,Montevideo,2016-01-31 00:00:00,,Not provided,Active,Production,3,51748,5175,56923,Production Technician I,Technician,No,Fully Meets
10111,03/07/1969,53,Beatrice,María,F,Single,Montevideo,2016-02-28 00:00:00,,Not provided,Active,Production,5,59293,5929,65222,Production Technician I,Technician,No,Fully Meets
10118,09/01/1987,36,Perry,Cristina,F,Single,Montevideo,2016-03-29 00:00:00,,Not provided,Active,Production,4,52071,8994,61065,Production Technician I,Technician,No,Fully Meets
10119,10/04/1954,68,Garcia,Emmanuel,M,Single,Lima,2016-04-02 00:00:00,,Not provided,Active,Production,3,53356,4851,58207,Production Technician I,Technician,No,Fully Meets
10136,19/09/1968,54,Mahoney,Victor,M,Single,Lima,2016-08-04 00:00:00,,Not provided,Active,Production,4,54948,9991,64939,Production Technician I,Technician,No,Fully Meets
10143,21/02/1972,51,Gold,Juan,M,Single,Buenos Aires,2016-10-11 00:00:00,,Not provided,Active,Production,5,62455,6813,69268,Production Technician I,Technician,No,Fully Meets
10144,17/01/1975,48,Dickinson,Leandro,M,Single,Buenos Aires,2016-10-23 00:00:00,,Not provided,Active,Production,4,61790,10673,72463,Production Technician I,Technician,No,Fully Meets
10149,19/07/1986,36,Chace,Rita,F,Single,Lima,2016-11-24 00:00:00,,Not provided,Active,Production,4,59595,9210,68805,Production Technician I,Technician,No,Fully Meets
10152,24/11/1990,32,Williams,Justo,M,Single,Lima,2016-12-15 00:00:00,,Not provided,Active,Production,4,59483,10815,70298,Production Technician I,Technician,No,Fully Meets
10153,01/10/1960,62,Crimmings,Lautaro,M,Single,Montevideo,2016-12-16 00:00:00,,Not provided,Active,Production,5,58512,4255,62767,Production Technician I,Technician,No,Fully Meets
10155,05/04/1991,31,Garneau,Ezequiel,M,Single,Lima,2016-12-30 00:00:00,,Not provided,Active,Production,4,60591,9364,69955,Production Technician I,Technician,No,Fully Meets
10163,10/08/1962,60,Nguyen,Roberto,M,Single,Montevideo,2017-02-25 00:00:00,,Not provided,Active,Production,5,49810,6792,56602,Production Technician I,Technician,No,Fully Meets
10167,27/03/1976,46,Pitt,Alejandro,M,Single,Buenos Aires,2017-03-13 00:00:00,,Not provided,Active,Production,3,55224,8535,63759,Production Technician I,Technician,No,Fully Meets
10173,20/03/1981,41,Barone,Julieta,F,Single,Montevideo,2017-04-13 00:00:00,,Not provided,Active,Production,4,46897,3837,50734,Production Technician I,Technician,No,Fully Meets
10174,18/03/1959,63,Chang,Emanuel,M,Single,Buenos Aires,2017-04-13 00:00:00,,Not provided,Active,Production,5,50544,5514,56058,Production Technician I,Technician,No,Fully Meets
10207,13/12/1992,30,Gaul,Barbara,F,Single,Montevideo,2018-01-24 00:00:00,,Not provided,Active,Production,4,57081,8822,65903,Production Technician I,Technician,No,Fully Meets
10211,29/03/1977,45,Dobrin,Denise,F,Single,Montevideo,2018-03-16 00:00:00,,Not provided,Active,Production,5,46797,5531,52328,Production Technician I,Technician,No,Fully Meets
10215,01/01/1980,43,Keatts,Martín,M,Single,Buenos Aires,2018-03-31 00:00:00,,Not provided,Active,Production,4,62838,9711,72549,Production Technician I,Technician,No,Fully Meets
10221,06/03/1953,70,Heitzman,Antonio,M,Single,Lima,2018-05-26 00:00:00,,Not provided,Active,Production,4,62032,5639,67671,Production Technician I,Technician,No,Fully Meets
10224,23/03/1972,50,Meads,Elizabeth,F,Single,Lima,2018-06-06 00:00:00,,Not provided,Active,Production,4,47601,8655,56256,Production Technician I,Technician,No,Fully Meets
10225,03/10/1956,66,Knapp,Brian,M,Single,Lima,2018-06-08 00:00:00,,Not provided,Active,Production,3,47958,8284,56242,Production Technician I,Technician,No,Fully Meets
10226,10/10/1985,37,Ndzi,Bautista,M,Single,Montevideo,2018-06-19 00:00:00,,Not provided,Active,Production,3,65412,11298,76710,Production Technician I,Technician,No,Fully Meets
10247,16/11/1952,70,Ivey,Rosa,F,Single,Montevideo,2018-12-08 00:00:00,,Not provided,Active,Production,3,59038,8051,67089,Production Technician I,Technician,No,Fully Meets
10274,27/08/1954,68,Smith,Paula,F,Single,Montevideo,2019-05-26 00:00:00,,Not provided,Active,Production,2,37500,58356,58359,Production Technician I,Technician,No,Fully Meets
10304,24/11/1973,49,Medeiros,Jennifer,F,Single,Buenos Aires,2019-11-26 00:00:00,,Not provided,Active,Production,4,70711,0,70711,Production Technician I,Technician,No,Fully Meets
10005,28/10/1953,69,Jackson,Noelia,F,Single,Buenos Aires,2014-01-25 00:00:00,,Not provided,Active,Production,3,56213,4757,60970,Production Technician I,Technician,No,Fully Meets
10007,28/04/1953,69,Carey,Rodrigo,M,Single,Lima,2014-02-04 00:00:00,,Not provided,Active,Production,3,66312,7141,73453,Production Technician I,Technician,No,Fully Meets
10015,10/11/1983,39,Ferreira,Daiana,F,Single,Lima,2014-05-02 00:00:00,,Not provided,Active,Production,4,57708,2663,60371,Production Technician I,Technician,No,Fully Meets
10040,01/05/1961,61,Bernstein,Ruben,M,Single,Lima,2014-10-07 00:00:00,,Not provided,Active,Production,3,56369,8239,64608,Production Technician I,Technician,No,Fully Meets
10055,30/12/1989,33,Rossetti,Diego,M,Single,Montevideo,2014-12-21 00:00:00,,Not provided,Active,Production,5,71254,7125,78379,Production Technician I,Technician,No,Fully Meets
10079,08/01/1975,48,Cockel,Juan,M,Single,Buenos Aires,2015-06-07 00:00:00,,Not provided,Active,Production,5,74227,7994,82221,Production Technician I,Technician,No,Fully Meets
10106,20/05/1972,50,Sutwell,Sonia,F,Single,Buenos Aires,2015-12-11 00:00:00,,Not provided,Active,Production,5,61185,4236,65421,Production Technician I,Technician,No,Fully Meets
10109,22/10/1975,47,Von Massenbach,Walter,M,Single,Montevideo,2016-01-31 00:00:00,,Not provided,Active,Production,3,61157,5175,66332,Production Technician I,Technician,No,Fully Meets
10111,03/07/1969,53,Beatrice,María,F,Single,Montevideo,2016-02-28 00:00:00,,Not provided,Active,Production,5,70074,5929,76003,Production Technician I,Technician,No,Fully Meets
10118,09/01/1987,36,Perry,Cristina,F,Single,Montevideo,2016-03-29 00:00:00,,Not provided,Active,Production,4,61538,8994,70532,Production Technician I,Technician,No,Fully Meets
